name,quantity,unit,price_per_unit,low_stock_threshold,description
Copper Component Type-51,150.5,sheets,45.99,20.0,Fitted bulk element batch number 51 for stress verification
Copper Component Type-52,150.5,pieces,45.99,20.0,Fitted bulk element batch number 52 for stress verification
Copper Component Type-53,150.5,lbs,45.99,20.0,Fitted bulk element batch number 53 for stress verification
Copper Component Type-54,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 54 for stress verification
Copper Component Type-55,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 55 for stress verification
Copper Component Type-56,150.5,rolls,45.99,20.0,Fitted bulk element batch number 56 for stress verification
Copper Component Type-57,150.5,sheets,45.99,20.0,Fitted bulk element batch number 57 for stress verification
Copper Component Type-58,150.5,pieces,45.99,20.0,Fitted bulk element batch number 58 for stress verification
Copper Component Type-59,150.5,lbs,45.99,20.0,Fitted bulk element batch number 59 for stress verification
Copper Component Type-60,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 60 for stress verification
Copper Component Type-61,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 61 for stress verification
Copper Component Type-62,150.5,rolls,45.99,20.0,Fitted bulk element batch number 62 for stress verification
Copper Component Type-63,150.5,sheets,45.99,20.0,Fitted bulk element batch number 63 for stress verification
Copper Component Type-64,150.5,pieces,45.99,20.0,Fitted bulk element batch number 64 for stress verification
Copper Component Type-65,150.5,lbs,45.99,20.0,Fitted bulk element batch number 65 for stress verification
Copper Component Type-66,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 66 for stress verification
Copper Component Type-67,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 67 for stress verification
Copper Component Type-68,150.5,rolls,45.99,20.0,Fitted bulk element batch number 68 for stress verification
Copper Component Type-69,150.5,sheets,45.99,20.0,Fitted bulk element batch number 69 for stress verification
Copper Component Type-70,150.5,pieces,45.99,20.0,Fitted bulk element batch number 70 for stress verification
Copper Component Type-71,150.5,lbs,45.99,20.0,Fitted bulk element batch number 71 for stress verification
Copper Component Type-72,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 72 for stress verification
Copper Component Type-73,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 73 for stress verification
Copper Component Type-74,150.5,rolls,45.99,20.0,Fitted bulk element batch number 74 for stress verification
Copper Component Type-75,150.5,sheets,45.99,20.0,Fitted bulk element batch number 75 for stress verification
Copper Component Type-76,150.5,pieces,45.99,20.0,Fitted bulk element batch number 76 for stress verification
Copper Component Type-77,150.5,lbs,45.99,20.0,Fitted bulk element batch number 77 for stress verification
Copper Component Type-78,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 78 for stress verification
Copper Component Type-79,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 79 for stress verification
Copper Component Type-80,150.5,rolls,45.99,20.0,Fitted bulk element batch number 80 for stress verification
Copper Component Type-81,150.5,sheets,45.99,20.0,Fitted bulk element batch number 81 for stress verification
Copper Component Type-82,150.5,pieces,45.99,20.0,Fitted bulk element batch number 82 for stress verification
Copper Component Type-83,150.5,lbs,45.99,20.0,Fitted bulk element batch number 83 for stress verification
Copper Component Type-84,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 84 for stress verification
Copper Component Type-85,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 85 for stress verification
Copper Component Type-86,150.5,rolls,45.99,20.0,Fitted bulk element batch number 86 for stress verification
Copper Component Type-87,150.5,sheets,45.99,20.0,Fitted bulk element batch number 87 for stress verification
Copper Component Type-88,150.5,pieces,45.99,20.0,Fitted bulk element batch number 88 for stress verification
Copper Component Type-89,150.5,lbs,45.99,20.0,Fitted bulk element batch number 89 for stress verification
Copper Component Type-90,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 90 for stress verification
Copper Component Type-91,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 91 for stress verification
Copper Component Type-92,150.5,rolls,45.99,20.0,Fitted bulk element batch number 92 for stress verification
Copper Component Type-93,150.5,sheets,45.99,20.0,Fitted bulk element batch number 93 for stress verification
Copper Component Type-94,150.5,pieces,45.99,20.0,Fitted bulk element batch number 94 for stress verification
Copper Component Type-95,150.5,lbs,45.99,20.0,Fitted bulk element batch number 95 for stress verification
Copper Component Type-96,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 96 for stress verification
Copper Component Type-97,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 97 for stress verification
Copper Component Type-98,150.5,rolls,45.99,20.0,Fitted bulk element batch number 98 for stress verification
Copper Component Type-99,150.5,sheets,45.99,20.0,Fitted bulk element batch number 99 for stress verification
Copper Component Type-100,150.5,pieces,45.99,20.0,Fitted bulk element batch number 100 for stress verification
Copper Component Type-101,150.5,lbs,45.99,20.0,Fitted bulk element batch number 101 for stress verification
Copper Component Type-102,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 102 for stress verification
Copper Component Type-103,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 103 for stress verification
Copper Component Type-104,150.5,rolls,45.99,20.0,Fitted bulk element batch number 104 for stress verification
Copper Component Type-105,150.5,sheets,45.99,20.0,Fitted bulk element batch number 105 for stress verification
Copper Component Type-106,150.5,pieces,45.99,20.0,Fitted bulk element batch number 106 for stress verification
Copper Component Type-107,150.5,lbs,45.99,20.0,Fitted bulk element batch number 107 for stress verification
Copper Component Type-108,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 108 for stress verification
Copper Component Type-109,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 109 for stress verification
Copper Component Type-110,150.5,rolls,45.99,20.0,Fitted bulk element batch number 110 for stress verification
Copper Component Type-111,150.5,sheets,45.99,20.0,Fitted bulk element batch number 111 for stress verification
Copper Component Type-112,150.5,pieces,45.99,20.0,Fitted bulk element batch number 112 for stress verification
Copper Component Type-113,150.5,lbs,45.99,20.0,Fitted bulk element batch number 113 for stress verification
Copper Component Type-114,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 114 for stress verification
Copper Component Type-115,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 115 for stress verification
Copper Component Type-116,150.5,rolls,45.99,20.0,Fitted bulk element batch number 116 for stress verification
Copper Component Type-117,150.5,sheets,45.99,20.0,Fitted bulk element batch number 117 for stress verification
Copper Component Type-118,150.5,pieces,45.99,20.0,Fitted bulk element batch number 118 for stress verification
Copper Component Type-119,150.5,lbs,45.99,20.0,Fitted bulk element batch number 119 for stress verification
Copper Component Type-120,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 120 for stress verification
Copper Component Type-121,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 121 for stress verification
Copper Component Type-122,150.5,rolls,45.99,20.0,Fitted bulk element batch number 122 for stress verification
Copper Component Type-123,150.5,sheets,45.99,20.0,Fitted bulk element batch number 123 for stress verification
Copper Component Type-124,150.5,pieces,45.99,20.0,Fitted bulk element batch number 124 for stress verification
Copper Component Type-125,150.5,lbs,45.99,20.0,Fitted bulk element batch number 125 for stress verification
Copper Component Type-126,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 126 for stress verification
Copper Component Type-127,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 127 for stress verification
Copper Component Type-128,150.5,rolls,45.99,20.0,Fitted bulk element batch number 128 for stress verification
Copper Component Type-129,150.5,sheets,45.99,20.0,Fitted bulk element batch number 129 for stress verification
Copper Component Type-130,150.5,pieces,45.99,20.0,Fitted bulk element batch number 130 for stress verification
Copper Component Type-131,150.5,lbs,45.99,20.0,Fitted bulk element batch number 131 for stress verification
Copper Component Type-132,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 132 for stress verification
Copper Component Type-133,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 133 for stress verification
Copper Component Type-134,150.5,rolls,45.99,20.0,Fitted bulk element batch number 134 for stress verification
Copper Component Type-135,150.5,sheets,45.99,20.0,Fitted bulk element batch number 135 for stress verification
Copper Component Type-136,150.5,pieces,45.99,20.0,Fitted bulk element batch number 136 for stress verification
Copper Component Type-137,150.5,lbs,45.99,20.0,Fitted bulk element batch number 137 for stress verification
Copper Component Type-138,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 138 for stress verification
Copper Component Type-139,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 139 for stress verification
Copper Component Type-140,150.5,rolls,45.99,20.0,Fitted bulk element batch number 140 for stress verification
Copper Component Type-141,150.5,sheets,45.99,20.0,Fitted bulk element batch number 141 for stress verification
Copper Component Type-142,150.5,pieces,45.99,20.0,Fitted bulk element batch number 142 for stress verification
Copper Component Type-143,150.5,lbs,45.99,20.0,Fitted bulk element batch number 143 for stress verification
Copper Component Type-144,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 144 for stress verification
Copper Component Type-145,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 145 for stress verification
Copper Component Type-146,150.5,rolls,45.99,20.0,Fitted bulk element batch number 146 for stress verification
Copper Component Type-147,150.5,sheets,45.99,20.0,Fitted bulk element batch number 147 for stress verification
Copper Component Type-148,150.5,pieces,45.99,20.0,Fitted bulk element batch number 148 for stress verification
Copper Component Type-149,150.5,lbs,45.99,20.0,Fitted bulk element batch number 149 for stress verification
Copper Component Type-150,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 150 for stress verification
Copper Component Type-151,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 151 for stress verification
Copper Component Type-152,150.5,rolls,45.99,20.0,Fitted bulk element batch number 152 for stress verification
Copper Component Type-153,150.5,sheets,45.99,20.0,Fitted bulk element batch number 153 for stress verification
Copper Component Type-154,150.5,pieces,45.99,20.0,Fitted bulk element batch number 154 for stress verification
Copper Component Type-155,150.5,lbs,45.99,20.0,Fitted bulk element batch number 155 for stress verification
Copper Component Type-156,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 156 for stress verification
Copper Component Type-157,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 157 for stress verification
Copper Component Type-158,150.5,rolls,45.99,20.0,Fitted bulk element batch number 158 for stress verification
Copper Component Type-159,150.5,sheets,45.99,20.0,Fitted bulk element batch number 159 for stress verification
Copper Component Type-160,150.5,pieces,45.99,20.0,Fitted bulk element batch number 160 for stress verification
Copper Component Type-161,150.5,lbs,45.99,20.0,Fitted bulk element batch number 161 for stress verification
Copper Component Type-162,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 162 for stress verification
Copper Component Type-163,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 163 for stress verification
Copper Component Type-164,150.5,rolls,45.99,20.0,Fitted bulk element batch number 164 for stress verification
Copper Component Type-165,150.5,sheets,45.99,20.0,Fitted bulk element batch number 165 for stress verification
Copper Component Type-166,150.5,pieces,45.99,20.0,Fitted bulk element batch number 166 for stress verification
Copper Component Type-167,150.5,lbs,45.99,20.0,Fitted bulk element batch number 167 for stress verification
Copper Component Type-168,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 168 for stress verification
Copper Component Type-169,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 169 for stress verification
Copper Component Type-170,150.5,rolls,45.99,20.0,Fitted bulk element batch number 170 for stress verification
Copper Component Type-171,150.5,sheets,45.99,20.0,Fitted bulk element batch number 171 for stress verification
Copper Component Type-172,150.5,pieces,45.99,20.0,Fitted bulk element batch number 172 for stress verification
Copper Component Type-173,150.5,lbs,45.99,20.0,Fitted bulk element batch number 173 for stress verification
Copper Component Type-174,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 174 for stress verification
Copper Component Type-175,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 175 for stress verification
Copper Component Type-176,150.5,rolls,45.99,20.0,Fitted bulk element batch number 176 for stress verification
Copper Component Type-177,150.5,sheets,45.99,20.0,Fitted bulk element batch number 177 for stress verification
Copper Component Type-178,150.5,pieces,45.99,20.0,Fitted bulk element batch number 178 for stress verification
Copper Component Type-179,150.5,lbs,45.99,20.0,Fitted bulk element batch number 179 for stress verification
Copper Component Type-180,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 180 for stress verification
Copper Component Type-181,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 181 for stress verification
Copper Component Type-182,150.5,rolls,45.99,20.0,Fitted bulk element batch number 182 for stress verification
Copper Component Type-183,150.5,sheets,45.99,20.0,Fitted bulk element batch number 183 for stress verification
Copper Component Type-184,150.5,pieces,45.99,20.0,Fitted bulk element batch number 184 for stress verification
Copper Component Type-185,150.5,lbs,45.99,20.0,Fitted bulk element batch number 185 for stress verification
Copper Component Type-186,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 186 for stress verification
Copper Component Type-187,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 187 for stress verification
Copper Component Type-188,150.5,rolls,45.99,20.0,Fitted bulk element batch number 188 for stress verification
Copper Component Type-189,150.5,sheets,45.99,20.0,Fitted bulk element batch number 189 for stress verification
Copper Component Type-190,150.5,pieces,45.99,20.0,Fitted bulk element batch number 190 for stress verification
Copper Component Type-191,150.5,lbs,45.99,20.0,Fitted bulk element batch number 191 for stress verification
Copper Component Type-192,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 192 for stress verification
Copper Component Type-193,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 193 for stress verification
Copper Component Type-194,150.5,rolls,45.99,20.0,Fitted bulk element batch number 194 for stress verification
Copper Component Type-195,150.5,sheets,45.99,20.0,Fitted bulk element batch number 195 for stress verification
Copper Component Type-196,150.5,pieces,45.99,20.0,Fitted bulk element batch number 196 for stress verification
Copper Component Type-197,150.5,lbs,45.99,20.0,Fitted bulk element batch number 197 for stress verification
Copper Component Type-198,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 198 for stress verification
Copper Component Type-199,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 199 for stress verification
Copper Component Type-200,150.5,rolls,45.99,20.0,Fitted bulk element batch number 200 for stress verification
Copper Component Type-201,150.5,sheets,45.99,20.0,Fitted bulk element batch number 201 for stress verification
Copper Component Type-202,150.5,pieces,45.99,20.0,Fitted bulk element batch number 202 for stress verification
Copper Component Type-203,150.5,lbs,45.99,20.0,Fitted bulk element batch number 203 for stress verification
Copper Component Type-204,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 204 for stress verification
Copper Component Type-205,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 205 for stress verification
Copper Component Type-206,150.5,rolls,45.99,20.0,Fitted bulk element batch number 206 for stress verification
Copper Component Type-207,150.5,sheets,45.99,20.0,Fitted bulk element batch number 207 for stress verification
Copper Component Type-208,150.5,pieces,45.99,20.0,Fitted bulk element batch number 208 for stress verification
Copper Component Type-209,150.5,lbs,45.99,20.0,Fitted bulk element batch number 209 for stress verification
Copper Component Type-210,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 210 for stress verification
Copper Component Type-211,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 211 for stress verification
Copper Component Type-212,150.5,rolls,45.99,20.0,Fitted bulk element batch number 212 for stress verification
Copper Component Type-213,150.5,sheets,45.99,20.0,Fitted bulk element batch number 213 for stress verification
Copper Component Type-214,150.5,pieces,45.99,20.0,Fitted bulk element batch number 214 for stress verification
Copper Component Type-215,150.5,lbs,45.99,20.0,Fitted bulk element batch number 215 for stress verification
Copper Component Type-216,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 216 for stress verification
Copper Component Type-217,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 217 for stress verification
Copper Component Type-218,150.5,rolls,45.99,20.0,Fitted bulk element batch number 218 for stress verification
Copper Component Type-219,150.5,sheets,45.99,20.0,Fitted bulk element batch number 219 for stress verification
Copper Component Type-220,150.5,pieces,45.99,20.0,Fitted bulk element batch number 220 for stress verification
Copper Component Type-221,150.5,lbs,45.99,20.0,Fitted bulk element batch number 221 for stress verification
Copper Component Type-222,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 222 for stress verification
Copper Component Type-223,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 223 for stress verification
Copper Component Type-224,150.5,rolls,45.99,20.0,Fitted bulk element batch number 224 for stress verification
Copper Component Type-225,150.5,sheets,45.99,20.0,Fitted bulk element batch number 225 for stress verification
Copper Component Type-226,150.5,pieces,45.99,20.0,Fitted bulk element batch number 226 for stress verification
Copper Component Type-227,150.5,lbs,45.99,20.0,Fitted bulk element batch number 227 for stress verification
Copper Component Type-228,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 228 for stress verification
Copper Component Type-229,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 229 for stress verification
Copper Component Type-230,150.5,rolls,45.99,20.0,Fitted bulk element batch number 230 for stress verification
Copper Component Type-231,150.5,sheets,45.99,20.0,Fitted bulk element batch number 231 for stress verification
Copper Component Type-232,150.5,pieces,45.99,20.0,Fitted bulk element batch number 232 for stress verification
Copper Component Type-233,150.5,lbs,45.99,20.0,Fitted bulk element batch number 233 for stress verification
Copper Component Type-234,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 234 for stress verification
Copper Component Type-235,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 235 for stress verification
Copper Component Type-236,150.5,rolls,45.99,20.0,Fitted bulk element batch number 236 for stress verification
Copper Component Type-237,150.5,sheets,45.99,20.0,Fitted bulk element batch number 237 for stress verification
Copper Component Type-238,150.5,pieces,45.99,20.0,Fitted bulk element batch number 238 for stress verification
Copper Component Type-239,150.5,lbs,45.99,20.0,Fitted bulk element batch number 239 for stress verification
Copper Component Type-240,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 240 for stress verification
Copper Component Type-241,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 241 for stress verification
Copper Component Type-242,150.5,rolls,45.99,20.0,Fitted bulk element batch number 242 for stress verification
Copper Component Type-243,150.5,sheets,45.99,20.0,Fitted bulk element batch number 243 for stress verification
Copper Component Type-244,150.5,pieces,45.99,20.0,Fitted bulk element batch number 244 for stress verification
Copper Component Type-245,150.5,lbs,45.99,20.0,Fitted bulk element batch number 245 for stress verification
Copper Component Type-246,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 246 for stress verification
Copper Component Type-247,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 247 for stress verification
Copper Component Type-248,150.5,rolls,45.99,20.0,Fitted bulk element batch number 248 for stress verification
Copper Component Type-249,150.5,sheets,45.99,20.0,Fitted bulk element batch number 249 for stress verification
Copper Component Type-250,150.5,pieces,45.99,20.0,Fitted bulk element batch number 250 for stress verification
Copper Component Type-251,150.5,lbs,45.99,20.0,Fitted bulk element batch number 251 for stress verification
Copper Component Type-252,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 252 for stress verification
Copper Component Type-253,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 253 for stress verification
Copper Component Type-254,150.5,rolls,45.99,20.0,Fitted bulk element batch number 254 for stress verification
Copper Component Type-255,150.5,sheets,45.99,20.0,Fitted bulk element batch number 255 for stress verification
Copper Component Type-256,150.5,pieces,45.99,20.0,Fitted bulk element batch number 256 for stress verification
Copper Component Type-257,150.5,lbs,45.99,20.0,Fitted bulk element batch number 257 for stress verification
Copper Component Type-258,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 258 for stress verification
Copper Component Type-259,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 259 for stress verification
Copper Component Type-260,150.5,rolls,45.99,20.0,Fitted bulk element batch number 260 for stress verification
Copper Component Type-261,150.5,sheets,45.99,20.0,Fitted bulk element batch number 261 for stress verification
Copper Component Type-262,150.5,pieces,45.99,20.0,Fitted bulk element batch number 262 for stress verification
Copper Component Type-263,150.5,lbs,45.99,20.0,Fitted bulk element batch number 263 for stress verification
Copper Component Type-264,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 264 for stress verification
Copper Component Type-265,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 265 for stress verification
Copper Component Type-266,150.5,rolls,45.99,20.0,Fitted bulk element batch number 266 for stress verification
Copper Component Type-267,150.5,sheets,45.99,20.0,Fitted bulk element batch number 267 for stress verification
Copper Component Type-268,150.5,pieces,45.99,20.0,Fitted bulk element batch number 268 for stress verification
Copper Component Type-269,150.5,lbs,45.99,20.0,Fitted bulk element batch number 269 for stress verification
Copper Component Type-270,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 270 for stress verification
Copper Component Type-271,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 271 for stress verification
Copper Component Type-272,150.5,rolls,45.99,20.0,Fitted bulk element batch number 272 for stress verification
Copper Component Type-273,150.5,sheets,45.99,20.0,Fitted bulk element batch number 273 for stress verification
Copper Component Type-274,150.5,pieces,45.99,20.0,Fitted bulk element batch number 274 for stress verification
Copper Component Type-275,150.5,lbs,45.99,20.0,Fitted bulk element batch number 275 for stress verification
Copper Component Type-276,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 276 for stress verification
Copper Component Type-277,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 277 for stress verification
Copper Component Type-278,150.5,rolls,45.99,20.0,Fitted bulk element batch number 278 for stress verification
Copper Component Type-279,150.5,sheets,45.99,20.0,Fitted bulk element batch number 279 for stress verification
Copper Component Type-280,150.5,pieces,45.99,20.0,Fitted bulk element batch number 280 for stress verification
Copper Component Type-281,150.5,lbs,45.99,20.0,Fitted bulk element batch number 281 for stress verification
Copper Component Type-282,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 282 for stress verification
Copper Component Type-283,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 283 for stress verification
Copper Component Type-284,150.5,rolls,45.99,20.0,Fitted bulk element batch number 284 for stress verification
Copper Component Type-285,150.5,sheets,45.99,20.0,Fitted bulk element batch number 285 for stress verification
Copper Component Type-286,150.5,pieces,45.99,20.0,Fitted bulk element batch number 286 for stress verification
Copper Component Type-287,150.5,lbs,45.99,20.0,Fitted bulk element batch number 287 for stress verification
Copper Component Type-288,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 288 for stress verification
Copper Component Type-289,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 289 for stress verification
Copper Component Type-290,150.5,rolls,45.99,20.0,Fitted bulk element batch number 290 for stress verification
Copper Component Type-291,150.5,sheets,45.99,20.0,Fitted bulk element batch number 291 for stress verification
Copper Component Type-292,150.5,pieces,45.99,20.0,Fitted bulk element batch number 292 for stress verification
Copper Component Type-293,150.5,lbs,45.99,20.0,Fitted bulk element batch number 293 for stress verification
Copper Component Type-294,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 294 for stress verification
Copper Component Type-295,150.5,sq ft,45.99,20.0,Fitted bulk element batch number 295 for stress verification
Copper Component Type-296,150.5,rolls,45.99,20.0,Fitted bulk element batch number 296 for stress verification
Copper Component Type-297,150.5,sheets,45.99,20.0,Fitted bulk element batch number 297 for stress verification
Copper Component Type-298,150.5,pieces,45.99,20.0,Fitted bulk element batch number 298 for stress verification
Copper Component Type-299,150.5,lbs,45.99,20.0,Fitted bulk element batch number 299 for stress verification
Copper Component Type-300,150.5,linear ft,45.99,20.0,Fitted bulk element batch number 300 for stress verification
